Alioth,,
Altair,,
Andromeda,,
Antares,,
Aphrodite,,
Apollon,,
Aquarius,,
Aries,,
Artemis,,
Asian,,
Auriga,,
Baltic,,
Cassiopeia,,
Castor,,
Century,,
Cepheus,,
Cetus,,
Columbia,,
Coral,,
Cronus,,
Cygnus,,
Daedalus,,
Delphinus,,
Dionysos,,
Dorado,,
Equuleus,,
Eridanus,,
Gaia,,
Galaxy,,
Garnet,,
Gentle,,
Global,,
Glorious,,
Goliath,,
Graceful,,
Guardian,,
Hercules,,
Hudson,,
Kariyushi,,
Leo,,
Libra,,
Oceanus,,
Orion,,
Pacific,,
Pacific,,
Pegasus,,
Perseus,,
Pleiades,,
Polaris,,
Poseidon,,
Positive,,
Procyon,,
Prometheus,,
Pyxis,,
Rhea,,
Selene,,
Triton,,
Vega,,
Venus,,
Victory,,
Volans,,
Zeus,,
Coral,,
Opal,,
Emerald,,
Zenith,,
Heroic,,
Horizon,,
Harmony,,
Antares,,
Global,,
,,
,,
,,
,,
,,
ECO LEADER ,Vessel ,Anti-Pollution [GR] 
LEADERSHIP ,Vessel ,Bulk Carrier [BS] 
KMAX LEADER ,Vessel ,Bulk Carrier [CY] 
PEDHOULAS LEADER ,Vessel ,Bulk Carrier [CY] 
ABM LEADER ,Vessel ,Bulk Carrier [Dead] 
CANADIAN LEADER ,Vessel ,Bulk Carrier [Dead] 
EXPRESS LEADER ,Vessel ,Bulk Carrier [Dead] 
LEADER ,Vessel ,Bulk Carrier [Dead] 
LEADER II ,Vessel ,Bulk Carrier [Dead] 
LEADER L ,Vessel ,Bulk Carrier [Dead] 
MING LEADER ,Vessel ,Bulk Carrier [Dead] 
OCEAN LEADER ,Vessel ,Bulk Carrier [Dead] 
PANAMAX LEADER ,Vessel ,Bulk Carrier [Dead] 
PANAMAX LEADER ,Vessel ,Bulk Carrier [Dead] 
TANAIS LEADER ,Vessel ,Bulk Carrier [Dead] 
UNION LEADER ,Vessel ,Bulk Carrier [Dead] 
ORIENTAL LEADER ,Vessel ,Bulk Carrier [KR] 
BRAVE LEADER ,Vessel ,Bulk Carrier [LB] 
DAIWAN LEADER ,Vessel ,Bulk Carrier [LR] 
FRONTIER LEADER ,Vessel ,Bulk Carrier [MH] 
AMIS LEADER ,Vessel ,Bulk Carrier [PA] 
BEST LEADER ,Vessel ,Bulk Carrier [PA] 
BUNUN LEADER ,Vessel ,Bulk Carrier [PA] 
ES LEADER ,Vessel ,Bulk Carrier [PA] 
HYUNDAI LEADER ,Vessel ,Bulk Carrier [PA] 
NEW LEADER ,Vessel ,Bulk Carrier [PA] 
SAKIZAYA LEADER ,Vessel ,Bulk Carrier [PA] 
CEMTEX LEADER ,Vessel ,Bulk Carrier [SG] 
CSC LEADER ,Vessel ,Bulk Carrier [TW] 
UNISON LEADER ,Vessel ,Bulk Carrier [TW] 
FLAG LEADER ,Vessel ,Bulk Carrier With Vehicle Deck [Dead] 
MARINE LEADER ,Vessel ,Bunkering Tanker 
FEOSO LEADER ,Vessel ,Bunkering Tanker [HK] 
MARINE LEADER ,Vessel ,Cargo [GQ] 
LEADER DCM 2 ,Vessel ,Cargo [HK] 
LEADER GD2 ,Vessel ,Cargo [HK] 
LEADER S23 ,Vessel ,Cargo [HK] 
LEADER S30 ,Vessel ,Cargo [HK] 
GLOBAL LEADER ,Vessel ,Cargo [KR] 
LEADER ,Vessel ,Cargo [PW] 
LEADER FORTUNE ,Vessel ,Cement Carrier [Dead] 
ZENGO LEADER ,Vessel ,Chemical Tanker [MY] 
S.LEADER ,Vessel ,Chemical Tanker [SG] 
LEADER ,Callsign ,CLO CA RE [LEADER] 
AMERICAN LEADER ,Vessel ,Container Ship [Dead] 
LEADER ,Vessel ,Container Ship [Dead] 
MSC LEADER ,Vessel ,Container Ship [Dead] 
EVER LEADER ,Vessel ,Container Ship [SG] 
RING LEADER ,Vessel ,Crew Boat 
LEADERSHIP ,Vessel ,Crude Oil Tanker [Dead] 
PACIFIC LEADER ,Vessel ,Crude Oil Tanker [Dead] 
OLYMPIC LEADER ,Vessel ,Crude Oil Tanker [GR] 
LEADER ,Vessel ,Crude Oil Tanker [LR] 
NS LEADER ,Vessel ,Crude Oil Tanker [LR] 
ECO LEADER ,Vessel ,Crude Oil Tanker [NO] 
SOUTHERN LEADER ,Vessel ,Crude Oil Tanker [PA] 
UNIVERSAL LEADER ,Vessel ,Crude Oil Tanker [PA] 
LEADER 1 ,Vessel ,Deck Cargo Ship [ID] 
DISCOVERER CLEAR LEADER ,Vessel ,Drill Ship [MH] 
Gregor Mainusch | Leadership- and People Developme ,Company ,"Education / Research / Consultancy ,IT "
Leader Electric ,Company ,"Energy / Manufacturing ,US "
RED LEADER ,Exname ,Ex Name (1009637) 
OCEAN LEADER ,Exname ,Ex Name (1390000) 
GIANT LEADER ,Exname ,Ex Name (5185063) 
LEADER COLOCOTRONIS ,Exname ,Ex Name (5196799) 
LOTHIAN LEADER ,Exname ,Ex Name (5212555) 
LEADER TWO ,Exname ,Ex Name (5236525) 
NAESS LEADER ,Exname ,Ex Name (5245409) 
COVE LEADER ,Exname ,Ex Name (5247770) 
PACIFIC LEADER ,Exname ,Ex Name (5268255) 
